No,日本語,英語
878,穴,hole
879,草,grass
880,野原・田畑・広場,field
881,小説,novel
882,財布,purse
883,ホール・廊下,hall
884,エッセー・随筆,essay
885,葉,leaf
886,城,castle
887,記憶,memory
888,円,circle
889,平和,peace
890,場所・宇宙,space
891,核の,nuclear
892,燃料,fuel
893,原子の,atomic
894,大気,atmosphere
895,酸性雨,acid rain
896,プラスチック,plastic
897,損害・被害,damage
898,守る・保護する,protect
899,保存する,preserve
900,世話,care
901,〜する（つもりだ）,will
902,〜できる・ありえる,can
903,〜しなければならない・〜にちがいない,must
904,〜してもよい・〜かもしれない,may
905,〜すべきだ,should
906,〜しましょうか？,shall
907,〜できた,could
908,〜だろう,would
909,何,what
910,だれ,who
911,だれの（もの）,whose
912,なぜ,why
913,どこで［へ］,where
914,どのように,how
915,どちら,which
916,そして・そうすれば,and
917,または・さもないと,or
918,しかし,but
919,〜だから...・とても,so
920,svするとき・いつ,when
921,もしsvするならば,if sv
922,svするので,because sv
923,svする前に・〜の前に,before sv
924,svした後に・〜の後に,after sv
925,svする間,while sv
926,svするけれども,though［although］sv
927,svするまで（ずっと）・〜まで（ずっと）,till［untill］sv
928,svするとすぐに,as soon as sv
929,〜について・およそ,about
930,〜なしで,without
931,〜を通して,through
932,〜の上に,over
933,〜の下に,under
934,〜以来,since
935,〜の間,during
936,〜の近くに,near
937,〜の中へ,into
938,(AとB）の間で,between（A and B）
939,〜に対して・〜に反対して,against
940,〜の後ろに,behind
941,〜に沿って,along
942,〜を横切って,across
943,〜として・svするように,as
944,〜の間で,among
945,全部・すべての,all
946,いくつか・いくつかの,some
947,それぞれ・それぞれの,each
948,どんな〜でも・まったく〜ない・いくらかの,any
949,交通,traffic
950,環境,environment
951,気候,climate
952,温度,temperature
953,影響,influence
954,惑星,planet
955,自然,nature
956,土地,land
957,視力・視界・景色,sight
958,地震,earthquake
959,砂漠,desert
960,洪水,flood
961,国家,nation
962,政府,government
963,法律,law
964,人口,populatiom
965,習慣,custom
966,マナー（作法）・方法,manner
967,宗教,religion
968,シンボル（象徴）,symbol
969,価値,value
970,品質,quality
971,平均,average
972,中間,middle
973,底,bottom
974,有利,advantage
975,エネルギー,energy
976,アパート・マンション,apartment
977,家具一式,furniture
978,学期・道具,instrument
979,条件・状態,condition
980,実験,experiment
981,痛み,pain
982,宝物,treasure
983,呼吸,breath
984,距離,distance
985,目印,sign
986,場面・場所,scene
987,努力,effort
988,知識,knowledge
989,話題,topic
990,感覚,sense
991,同意する,agree
992,反対する,disagree
993,脂肪、太った,fat
994,印象を与える,impress
995,便利な,convenient
996,推薦する,recommend
997,許す,excuse
998,ピリッとした,spicy
999,すっぱい,sour
1000,おいしい,yummy
